State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.00056	1.01226	1.00495	1.02104	1.03566	1.02396	1.02250	1.00495	1.01957	1.05029	1.12928	1.12636	1.18926	1.25801	1.28142	1.28873	1.30775	1.32823	1.35163	1.32384	1.28142
2	4.68329	4.75513	4.82045	4.84658	4.96742	5.04580	5.07193	5.06539	5.05886	4.80739	4.53959	4.55918	4.37629	4.19014	4.02031	3.87661	3.77537	3.59901	3.36060	3.27895	3.22017
3	4.00256	4.03864	4.05876	4.07611	4.06917	4.02893	3.97619	3.94010	3.89222	3.83463	3.72360	3.57718	3.42174	3.27255	3.10115	2.96028	2.82219	2.69798	2.59250	2.48217	2.39126
4	1.78825	1.77277	1.76316	1.74501	1.76156	1.78505	1.79946	1.82455	1.83363	1.91850	2.02846	2.08772	2.17740	2.25106	2.37437	2.42508	2.46992	2.52704	2.57135	2.60444	2.61779
5	2.57658	2.64099	2.79558	2.95018	2.74405	2.69252	2.95018	2.93730	2.83423	2.80847	2.62811	2.88576	2.86000	3.00171	2.93730	2.87288	2.74405	2.67964	2.43486	2.39622	2.19009
6	1.20798	1.21588	1.16456	1.18430	1.15666	1.17640	1.22772	1.25930	1.26720	1.20798	1.19614	1.20798	1.22772	1.28299	1.24746	1.40142	1.41326	1.35799	1.44879	1.41326	1.42510
7	3.60962	3.50877	3.37430	3.31967	3.28185	3.09696	2.97090	2.91627	2.90786	2.85744	2.76079	2.79020	2.87425	2.84903	3.08855	3.05494	3.09696	3.06754	2.92467	2.89946	2.96669
8	2.52648	2.57460	2.51044	2.34201	2.27784	2.42221	2.37409	2.37409	2.40617	2.33399	2.28586	2.39815	2.25378	2.36607	2.33399	2.26982	2.19764	2.03723	2.30993	2.21368	2.34201
9	5.36309	5.28521	5.36309	5.16281	5.05155	4.99591	5.10718	5.05155	4.82901	4.78450	4.48408	4.31718	4.05014	3.80535	3.60507	3.49380	3.58281	3.84986	3.79422	3.88324	3.66070
10	3.49228	3.50911	3.55119	3.61851	3.60168	3.72791	3.83730	3.86255	3.96353	3.67742	3.59326	3.41655	3.24824	3.07153	2.81907	2.80224	2.75175	2.76017	2.68443	2.85273	2.94530
11	2.91082	2.92160	2.86770	2.83535	2.73833	2.67364	2.66286	2.65208	2.67364	2.47959	2.37178	2.25319	2.31787	2.32866	2.13460	2.05913	2.02679	1.88664	1.99445	1.76805	1.67103
12	0.68118	0.67054	0.67409	0.66876	0.68650	0.69183	0.69360	0.69183	0.67586	0.67409	0.66876	0.66344	0.67763	0.69183	0.72198	0.74504	0.75923	0.78762	0.81068	0.82487	0.85148
13	0.41611	0.41538	0.41630	0.41709	0.41752	0.41795	0.41930	0.41960	0.42150	0.42438	0.42811	0.42995	0.43166	0.43325	0.43442	0.43619	0.43840	0.44109	0.44378	0.44819	0.45144
14	1.12540	1.12163	1.11754	1.11864	1.11644	1.11282	1.10921	1.10653	1.11377	1.11581	1.12571	1.13106	1.13986	1.15149	1.15794	1.17366	1.19079	1.20305	1.21437	1.23088	1.24094
15	1.66869	1.68838	1.77207	1.78683	1.73761	1.89513	2.00834	2.21016	2.14125	2.21508	1.98865	2.17570	2.22493	2.16586	2.17570	2.20524	2.14125	2.18062	2.16586	2.06249	2.16093
