State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.09360	1.04453	1.00193	0.98901	0.94641	0.89734	0.86765	0.82762	0.79663	0.77727	0.74757	0.71787	0.74370	0.75919	0.78889	0.82375	0.88314	0.95932	1.07423	1.23433	1.44091
2	0.98874	0.95703	0.95127	0.95415	0.90515	0.88785	0.92244	0.89938	0.90803	0.99451	1.07522	1.12423	1.13864	1.10693	1.05504	0.99739	1.01469	1.03198	1.06081	1.12711	1.31448
3	0.55369	0.50469	0.45386	0.42507	0.40731	0.38587	0.37056	0.36688	0.36811	0.36750	0.38464	0.40792	0.41527	0.44161	0.45386	0.46304	0.47223	0.48387	0.53593	0.60759	0.72213
4	1.28062	1.19817	1.11383	1.00499	0.88720	0.78260	0.65822	0.58047	0.54278	0.51216	0.48860	0.48012	0.49990	0.52111	0.54843	0.57718	0.63089	0.72748	0.85987	1.01677	1.14022
5	1.23945	1.12573	1.15985	1.06888	0.98928	0.85283	0.75049	0.68226	0.69363	0.76186	0.80735	0.79597	0.75049	0.76186	0.77323	0.79597	0.78460	0.86420	0.87557	0.88694	1.08025
6	2.00004	2.23001	2.37984	2.52967	2.51922	2.47044	2.27183	1.76659	1.36588	1.23696	1.28574	1.06623	0.93730	0.90943	0.96866	1.05926	1.17424	1.18121	1.26135	1.22999	1.24044
7	4.58802	5.47076	6.83938	9.22797	13.47106	19.85424	28.59633	37.39406	43.43231	43.14671	42.78694	47.91277	46.75556	43.38409	35.77324	25.03199	15.67420	9.91043	6.54637	4.72897	3.67190
8	8.95538	11.22077	14.51975	18.68949	22.63977	25.22373	24.82729	20.14076	14.96575	18.12314	19.56733	9.81906	9.69871	10.87388	14.31445	19.33371	22.44863	22.76720	19.56733	15.51794	12.09861
9	11.32363	13.10124	14.76099	15.21275	14.00477	11.01918	6.75686	4.61588	3.61413	2.90702	3.01505	3.71234	5.45066	10.29243	22.51959	39.02872	51.09875	52.92546	49.29168	42.43661	35.31638
10	8.40806	7.27163	5.48158	3.75094	2.61452	2.22086	1.91632	1.74549	1.61922	1.50038	1.53752	1.53009	1.70835	1.74549	1.99803	2.81507	4.90222	10.08670	16.55615	23.07017	27.45989
11	0.78980	0.75174	0.73271	0.74222	0.68513	0.70416	0.65658	0.61852	0.57094	0.61852	0.64707	0.61852	0.59949	0.55191	0.61852	0.68513	0.74222	0.84689	0.97060	1.13236	1.18946
12	0.77034	0.77348	0.80009	0.80166	0.81105	0.85020	0.87681	0.86742	0.87212	0.89404	0.91596	0.94884	0.95197	0.91283	0.87368	0.80322	0.75625	0.69519	0.64508	0.61847	0.57150
13	0.40738	0.40046	0.39462	0.38744	0.38182	0.37398	0.36652	0.36150	0.35912	0.35734	0.35599	0.35588	0.35728	0.35847	0.36069	0.36350	0.36631	0.36977	0.37274	0.37458	0.37803
14	1.90466	1.87205	1.81461	1.72262	1.59358	1.42083	1.23906	1.10378	1.02649	0.99153	0.98029	0.98861	1.00499	1.02899	1.05424	1.09018	1.13195	1.16705	1.21631	1.24850	1.27542
15	2.01162	2.12893	2.10721	2.10721	1.87693	1.70749	1.60321	1.47287	1.63797	1.92907	1.77700	1.33818	1.10357	1.09488	1.01233	1.06446	1.19915	1.36425	1.26867	1.39032	1.27736
