State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	2.37681	1.07835	0.79280	2.16288	1.12940	0.74759	0.97961	0.14696
2	1.06458	1.61728	5.09489	2.26035	4.53679	1.07526	1.07721	0.13234
3	5.01036	0.48919	4.61429	2.24604	3.72329	0.38466	0.50447	0.30058
4	6.51324	0.54754	1.71149	1.82385	2.02868	0.48861	0.80408	0.46194
5	0.26988	0.52447	2.77748	2.14063	2.62838	0.80737	0.91625	0.35011
6	0.88073	0.47889	0.93536	0.99477	1.19626	1.28578	1.64213	0.71056
7	0.82740	43.97564	6.82978	1.46121	2.76108	42.78454	20.76021	0.30541
8	0.43349	18.82775	2.94060	1.21750	2.28610	19.56793	15.88784	0.42194
9	0.31247	4.28132	4.08361	2.24273	4.48455	3.01514	16.51045	0.19171
10	0.41316	1.41690	3.09411	2.24201	3.58522	1.53756	5.16114	0.20233
11	0.32250	0.92242	3.11378	1.68410	2.37203	0.64709	0.64743	0.49771
12	1.95997	2.30872	0.68176	0.61678	0.66883	0.91599	0.78560	0.99034
13	56.79204	0.26274	0.36726	0.69257	0.42816	0.35600	0.40317	1.24045
14	22.11705	0.96941	1.03709	1.02581	1.12583	0.98032	1.35223	0.93035
15	0.70632	2.09539	1.75071	1.03388	1.98886	1.77706	1.64031	0.80682
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
