State (Emission order)	H3k09me3	H3k36me3	H4k20me1	H3k04me2	H3k04me3	H3k09ac	H3k27ac	H2az	Ezh239875	Ctcf
1	0.0010725192248953854	0.0452924969485254	0.416640720486501	0.004162464583405568	5.824238288757324E-27	0.02155794843574079	0.012249373516366135	7.739283759510105E-5	0.02657468870276281	0.006486099740697748
2	0.0022992491381913067	0.8932569642545062	0.6935865346486275	0.015479655507565401	1.024284289454626E-4	0.042627035444466464	0.039534303602713594	1.3478926675773007E-4	0.02307378444764904	0.04645154764111351
3	0.002460920270415018	0.7178774915392026	0.0326629484829553	5.672876705268955E-4	1.315261081263695E-5	0.019632218159595524	0.006044152750554128	4.7978888440276426E-5	0.02116120531013526	0.011226088567746423
4	0.0017871207939533407	0.060266872179131604	0.008937625901520271	4.8345054909120015E-4	9.208248475082514E-6	0.014783323133232934	0.012424447951512567	0.0020901107315985075	0.01727386535185004	0.0012720637992345181
5	0.006721824840436921	0.6419338228424042	0.30969163140828987	0.125047589292014	0.0022985652445035453	0.24095683855185457	0.7842395541872583	0.006420030546731311	0.03307175264904391	0.07129269876157439
6	0.01214480432269871	0.009855863406940397	0.004864300070592249	0.24400315288968472	0.008117153702022444	0.4011725488432395	0.8558022559647112	0.23340584809498754	0.0435452846565615	0.052538916861974476
7	0.002840883067786969	0.005814045104801989	0.061818144842954996	0.9888337470570756	0.9443375358575359	0.9821025637634637	0.8931638033104249	0.8235803599395882	0.11507868384484966	0.23440598890192782
8	0.006322028365827723	0.003683685596179377	0.031712391830659103	0.8553564324104257	0.3973000260779036	0.21513679985895232	0.08764126587518244	0.29178421706335395	0.12178602883894515	0.1154296708376337
9	0.004712100428648151	0.39706106504502964	0.6553320740099539	0.9997688712977879	0.9313129063172629	0.7985011126462856	0.5494065670639365	0.029565320419379336	0.04981242828295141	0.06146770898591305
10	0.0017604397853868998	0.4655855622038393	0.5587324057902189	0.7838835802024747	0.14812022544842826	0.13285472058171932	0.06453456286851407	1.756016003080541E-4	0.029843484257129623	0.019014918225463983
11	0.7194925623886298	0.6733966255582144	0.03513722400988404	0.0062176504934973965	0.09240606981265763	0.013974407657393691	0.041394450527919374	0.03311782644707199	0.05421268009131791	0.02925343189849263
12	0.3778481415996519	0.004959405612668828	6.850240219402281E-4	7.89412591746922E-5	0.0013051591071911505	0.003934505237869939	0.0027990362138104897	0.016562700153458888	0.03241825286189911	0.004310819773371191
13	0.0035414232338753775	1.0276265861137021E-4	9.667553022277362E-5	2.5570315119790773E-5	4.664456369053927E-6	0.003330004657299203	2.8498806091663475E-5	0.002582845792431182	0.02424287496457551	3.840179110376482E-4
14	0.00144015560030087	5.840468519762573E-5	0.010195032085549586	1.1930465803801859E-4	6.284666842949383E-6	0.013022187822191738	0.0010030678531034616	0.015331426775893435	0.06286542489418476	1.3210285055496922E-4
15	0.00622472332004171	0.010060114532567397	0.04297380234417571	0.018604079260684903	8.375024757507458E-6	0.025118336336285175	0.011140914687979718	0.05865134681028414	0.07209069142648669	0.9289686084528174
