15	10	E	-9002718.417558074	181
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	1.6905537445956527E-295
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	1.3427372873790687E-244
probinit	13	0.9593507757436852
probinit	14	4.690769207875441E-176
probinit	15	0.04064922425631475
transitionprobs	1	1	0.9345150271150839
transitionprobs	1	2	0.03362393264188553
transitionprobs	1	3	0.0
transitionprobs	1	4	0.010638664278496362
transitionprobs	1	5	0.0028035665422092605
transitionprobs	1	6	0.0
transitionprobs	1	7	0.0
transitionprobs	1	8	0.0
transitionprobs	1	9	1.1923550375307545E-4
transitionprobs	1	10	0.011272917934508382
transitionprobs	1	11	1.7273148580118977E-4
transitionprobs	1	12	9.732197877761008E-5
transitionprobs	1	13	0.0
transitionprobs	1	14	0.005074998684710384
transitionprobs	1	15	0.001681603834774119
transitionprobs	2	1	0.07147007309484024
transitionprobs	2	2	0.8565910213158033
transitionprobs	2	3	0.062382340040443816
transitionprobs	2	4	0.0
transitionprobs	2	5	0.0017016830884884755
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	0.0
transitionprobs	2	9	0.0
transitionprobs	2	10	0.006981970824307196
transitionprobs	2	11	2.0315561026247914E-4
transitionprobs	2	12	0.0
transitionprobs	2	13	0.0
transitionprobs	2	14	0.0
transitionprobs	2	15	6.697560258543819E-4
transitionprobs	3	1	0.0
transitionprobs	3	2	0.013710072911700061
transitionprobs	3	3	0.9435720828900974
transitionprobs	3	4	0.036891540021421275
transitionprobs	3	5	0.002002065988851683
transitionprobs	3	6	0.0
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	1.4314312297608972E-5
transitionprobs	3	10	0.001491079318852655
transitionprobs	3	11	0.0020173339561563594
transitionprobs	3	12	0.0
transitionprobs	3	13	0.0
transitionprobs	3	14	0.0
transitionprobs	3	15	3.015106006231124E-4
transitionprobs	4	1	0.003988530745438472
transitionprobs	4	2	0.0
transitionprobs	4	3	0.028194475585357568
transitionprobs	4	4	0.9376949731089669
transitionprobs	4	5	0.0018300970967634535
transitionprobs	4	6	0.01162599646308935
transitionprobs	4	7	1.4482746249804205E-4
transitionprobs	4	8	0.0021975692956249615
transitionprobs	4	9	0.0
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0034065415089270237
transitionprobs	4	12	9.84830027860067E-4
transitionprobs	4	13	0.0013735661372659077
transitionprobs	4	14	0.005209651474627926
transitionprobs	4	15	0.003348941093580269
transitionprobs	5	1	0.023840793313475415
transitionprobs	5	2	0.007971610622045036
transitionprobs	5	3	0.03540164490528347
transitionprobs	5	4	0.042211788294067076
transitionprobs	5	5	0.8566674849291078
transitionprobs	5	6	0.01995968928503589
transitionprobs	5	7	0.0
transitionprobs	5	8	0.0
transitionprobs	5	9	0.011139767356656434
transitionprobs	5	10	4.933162338975332E-4
