State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9345150271150839	0.03362393264188553	0.0	0.010638664278496362	0.0028035665422092605	0.0	0.0	0.0	1.1923550375307545E-4	0.011272917934508382	1.7273148580118977E-4	9.732197877761008E-5	0.0	0.005074998684710384	0.001681603834774119
2	0.07147007309484024	0.8565910213158033	0.062382340040443816	0.0	0.0017016830884884755	0.0	0.0	0.0	0.0	0.006981970824307196	2.0315561026247914E-4	0.0	0.0	0.0	6.697560258543819E-4
3	0.0	0.013710072911700061	0.9435720828900974	0.036891540021421275	0.002002065988851683	0.0	0.0	0.0	1.4314312297608972E-5	0.001491079318852655	0.0020173339561563594	0.0	0.0	0.0	3.015106006231124E-4
4	0.003988530745438472	0.0	0.028194475585357568	0.9376949731089669	0.0018300970967634535	0.01162599646308935	1.4482746249804205E-4	0.0021975692956249615	0.0	0.0	0.0034065415089270237	9.84830027860067E-4	0.0013735661372659077	0.005209651474627926	0.003348941093580269
5	0.023840793313475415	0.007971610622045036	0.03540164490528347	0.042211788294067076	0.8566674849291078	0.01995968928503589	0.0	0.0	0.011139767356656434	4.933162338975332E-4	7.485703953506579E-4	0.0	0.0	0.0	0.0015653346650807613
6	0.0	0.0	0.0	0.08647270665535081	0.005824680646008781	0.8309750383463052	0.03724144468686133	9.92073537091138E-4	8.413877894014077E-4	0.0	5.975135741326616E-4	0.002284491916318581	0.031067249355364177	0.0	0.00370341349316603
7	0.0	0.0	0.0	0.0011086325037207192	0.0	0.04079870945804427	0.834853711924635	0.08852285662640849	0.03343402920545794	0.0	4.370612428351329E-5	1.253564060456064E-4	5.758904065855367E-4	0.0	5.371073448189386E-4
8	0.002629398176114702	0.0	0.0	0.029268490713512726	0.0	9.09339240618174E-4	0.16852098941314883	0.6125901961072641	0.002131207749053287	0.012048051619444283	4.401501028957947E-4	0.002622403970457815	0.010743680538234964	0.14266681516485324	0.015429277204402134
9	7.913898462893604E-4	0.0	4.100288116866944E-4	0.0	0.010195695362531352	0.0021276269884349937	0.08099467905999827	0.0020722621657066555	0.8008284516873482	0.10191203945512126	6.67826622883254E-4	0.0	0.0	0.0	0.0
10	0.06086664757570383	0.019079237280519096	0.01731562943773722	0.007922982864267382	5.252706938176846E-4	0.0	0.0	0.012907993102516129	0.07483643277412919	0.8062179247594364	3.238286974231611E-4	0.0	0.0	0.0	4.05281444988955E-6
11	0.001420697035491226	5.416569770325161E-4	0.029895891395683823	0.06681464388527864	5.986691986214528E-4	0.0017152813648253866	4.271748097970387E-4	4.8320080772944174E-4	6.071852004622084E-4	3.990968485359779E-4	0.8470923306130749	0.04984805108460338	0.0	0.0	1.561207788641672E-4
12	1.7846006584498766E-4	0.0	0.0	0.002596544855331567	0.0	0.0010354799904549773	2.170906158815494E-5	4.889363241821165E-4	0.0	0.0	0.007372551422383723	0.8815076004671142	0.10609142041413311	0.0	7.072973989671611E-4
13	0.0	0.0	0.0	1.653347279897246E-4	0.0	4.8593743558318067E-4	1.2715376901795812E-5	8.386325681281184E-5	0.0	0.0	0.0	0.004356541419315133	0.989966742255133	0.0037872529655115666	0.0011416125627526077
14	4.980227868094457E-4	0.0	0.0	0.0014206763710537796	0.0	0.0	0.0	0.0027602338415893216	0.0	0.0	0.0	0.0	0.008782366000025122	0.9780401502103969	0.00849855079012549
15	0.005222852357947457	9.51149362696358E-4	0.0019115087979365078	0.029651789733805396	7.066447086480559E-4	0.004974942553418082	5.483306205811154E-4	0.009419867344289182	1.5032764977182268E-5	1.93164997065363E-6	1.4220716933349635E-4	0.0024608181679518022	0.08561789541335098	0.27236914151536357	0.5860058878397302
